# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 +1.0451470002372320e-05 -1.9014275871037177e+02 +1.6114470956251212e+11 +3.7899596487967936e+21 
+1.0000000000000001e-01 +1.0444988390018270e-05 -1.9014255677755418e+02 +1.6113357397373044e+11 +3.7897835451772809e+21 
+2.0000000000000001e-01 +1.0426958880024142e-05 -1.9014199472519752e+02 +1.6110151795371304e+11 +3.7893424556161462e+21 
+3.0000000000000004e-01 +1.0399504463587980e-05 -1.9014113817245911e+02 +1.6105056762318756e+11 +3.7887672120311965e+21 
+4.0000000000000002e-01 +1.0364748131105347e-05 -1.9014005273847718e+02 +1.6098274910077991e+11 +3.7881886463915092e+21 
+5.0000000000000000e-01 +1.0324812873883366e-05 -1.9013880404241357e+02 +1.6090008850785638e+11 +3.7877375905982400e+21 
+6.0000000000000009e-01 +1.0281821682508482e-05 -1.9013745770341112e+02 +1.6080461196353027e+11 +3.7875448766087068e+21 
+7.0000000000000007e-01 +1.0237897547800875e-05 -1.9013607934061875e+02 +1.6069834558776901e+11 +3.7877413363578170e+21 
+8.0000000000000004e-01 +1.0195163460736542e-05 -1.9013473457318895e+02 +1.6058331550071326e+11 +3.7884578017783081e+21 
+9.0000000000000002e-01 +1.0155742412046065e-05 -1.9013348902026888e+02 +1.6046154782205765e+11 +3.7898251048124631e+21 
+1.0000000000000000e+00 +1.0121757392522357e-05 -1.9013240830100654e+02 +1.6033506867159567e+11 +3.7919740774000954e+21 
+1.1000000000000001e+00 +1.0094832692018130e-05 -1.9013154270136573e+02 +1.6020588938261023e+11 +3.7949861011773981e+21 
+1.2000000000000002e+00 +1.0074597793267396e-05 -1.9013088117449652e+02 +1.6007596213455518e+11 +3.7987447567504942e+21 
+1.3000000000000000e+00 +1.0060183478247059e-05 -1.9013039734036914e+02 +1.5994722432091528e+11 +3.8030841744083465e+21 
+1.4000000000000001e+00 +1.0050720528669132e-05 -1.9013006481894647e+02 +1.5982161333424066e+11 +3.8078384844639736e+21 
+1.5000000000000000e+00 +1.0045339726413130e-05 -1.9012985723019617e+02 +1.5970106656783032e+11 +3.8128418172094351e+21 
+1.6000000000000001e+00 +1.0043171853296242e-05 -1.9012974819408404e+02 +1.5958752141455579e+11 +3.8179283029498349e+21 
+1.7000000000000002e+00 +1.0043347690944776e-05 -1.9012971133057175e+02 +1.5948291526701230e+11 +3.8229320719954550e+21 
+1.8000000000000000e+00 +1.0044998021269416e-05 -1.9012972025962827e+02 +1.5938918551854337e+11 +3.8276872546383545e+21 
+1.9000000000000001e+00 +1.0047253626114619e-05 -1.9012974860121898e+02 +1.5930826956199344e+11 +3.8320279811841920e+21 
+2.0000000000000000e+00 +1.0049245287083322e-05 -1.9012976997530671e+02 +1.5924210479016476e+11 +3.8357883819372037e+21 
+2.1000000000000001e+00 +1.0050277142078531e-05 -1.9012976339333380e+02 +1.5919207157369666e+11 +3.8388359386539025e+21 
+2.2000000000000002e+00 +1.0050346753728309e-05 -1.9012972943266843e+02 +1.5915732219707870e+11 +3.8411715388240775e+21 
+2.3000000000000003e+00 +1.0049625040395938e-05 -1.9012967406214761e+02 +1.5913645192167239e+11 +3.8428294214115168e+21 
+2.4000000000000004e+00 +1.0048282920588833e-05 -1.9012960325061283e+02 +1.5912805600932343e+11 +3.8438438253680845e+21 
+2.5000000000000000e+00 +1.0046491313122163e-05 -1.9012952296691037e+02 +1.5913072972238980e+11 +3.8442489896333921e+21 
