# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 +1.0978001240483043e-05 -1.9972032550902122e+02 +1.6926208977263300e+11 +3.9808560888557103e+21 
+1.0000000000000000e+00 +1.0631702218556919e-05 -1.9970944622774684e+02 +1.6841218152158102e+11 +3.9829540049923641e+21 
+2.0000000000000000e+00 +1.0555341863457432e-05 -1.9970666997298082e+02 +1.6726295291494769e+11 +4.0289947065975004e+21 
+3.0000000000000000e+00 +1.0542378618660140e-05 -1.9970606815602034e+02 +1.6728338196784210e+11 +4.0316596288780847e+21 
+4.0000000000000000e+00 +1.0532400573361750e-05 -1.9970600321526740e+02 +1.6751549480252603e+11 +4.0116018164013838e+21 
+5.0000000000000000e+00 +1.0510323206222632e-05 -1.9970508638858982e+02 +1.6721350189628168e+11 +4.0336079022155969e+21 
+6.0000000000000000e+00 +1.0625305935186516e-05 -1.9970865181545227e+02 +1.6819870182976089e+11 +3.9904872027453616e+21 
+7.0000000000000000e+00 +1.0654990478859555e-05 -1.9970935187946466e+02 +1.6831347860304843e+11 +3.9861574615985658e+21 
+8.0000000000000000e+00 +1.0658284943774851e-05 -1.9970851309852230e+02 +1.6825849026733713e+11 +3.9886011902200754e+21 
+9.0000000000000000e+00 +1.0562661809950432e-05 -1.9970408395687065e+02 +1.6741860045108316e+11 +4.0186630750877762e+21 
+1.0000000000000000e+01 +1.0505059489064581e-05 -1.9970042232472997e+02 +1.6685728930630750e+11 +4.0359947165588149e+21 
+1.1000000000000000e+01 +1.0485704804200031e-05 -1.9969744934022125e+02 +1.6666292973189844e+11 +4.0402092951892074e+21 
+1.2000000000000000e+01 +1.0654318673152973e-05 -1.9970020000390369e+02 +1.6769847505123160e+11 +4.0022610386864995e+21 
+1.3000000000000000e+01 +1.0568604677010490e-05 -1.9969341300183837e+02 +1.6718839869083466e+11 +4.0166826499669182e+21 
+1.4000000000000000e+01 +1.0770298822723004e-05 -1.9969529299852519e+02 +1.6811458577416071e+11 +3.9905135695690706e+21 
+1.5000000000000000e+01 +1.0668273873882864e-05 -1.9968493628704925e+02 +1.6661318280797598e+11 +4.0463383714471503e+21 
+1.6000000000000000e+01 +1.0916360151084584e-05 -1.9968487385331008e+02 +1.6762421625744772e+11 +4.0042554195052740e+21 
+1.7000000000000000e+01 +1.0658034362055732e-05 -1.9966473834052118e+02 +1.6488747361531592e+11 +4.0858893348914237e+21 
+1.8000000000000000e+01 +1.0860276480386794e-05 -1.9965700936618234e+02 +1.6485599259331287e+11 +4.0847889478582592e+21 
+1.9000000000000000e+01 +1.1348380107525096e-05 -1.9965486342827515e+02 +1.6613766213833435e+11 +4.0246492747632266e+21 
+2.0000000000000000e+01 +1.1448779988764282e-05 -1.9963238236871319e+02 +1.6386651096619342e+11 +4.0941666043684711e+21 
+2.1000000000000000e+01 +1.2039849409805401e-05 -1.9961910654628502e+02 +1.6408907365280637e+11 +4.0628851004881827e+21 
+2.2000000000000000e+01 +1.2451888961083176e-05 -1.9958912034136648e+02 +1.6227713898999573e+11 +4.1010002571421119e+21 
+2.3000000000000000e+01 +1.3034108018212770e-05 -1.9955017252754033e+02 +1.5970462004307697e+11 +4.1596647566727336e+21 
+2.4000000000000000e+01 +1.3928020207052688e-05 -1.9950286575161391e+02 +1.5754450695006085e+11 +4.1837999980605924e+21 
+2.5000000000000000e+01 +1.4928744970977517e-05 -1.9943397778687151e+02 +1.5366835410009128e+11 +4.2543229565419740e+21 
+2.6000000000000000e+01 +1.6547278975670333e-05 -1.9935232743525540e+02 +1.5012292569941141e+11 +4.3027120599343295e+21 
+2.7000000000000000e+01 +1.8127028622349466e-05 -1.9922499693059740e+02 +1.4202516362423007e+11 +4.4766854297061708e+21 
+2.8000000000000000e+01 +2.0565376122743740e-05 -1.9906906012172783e+02 +1.3473891984709167e+11 +4.5776789057859349e+21 
+2.9000000000000000e+01 +2.3295928458916161e-05 -1.9884643132957717e+02 +1.2224644431323119e+11 +4.8184464467521312e+21 
+3.0000000000000000e+01 +2.6854193636739327e-05 -1.9855359656973036e+02 +1.0730877946851981e+11 +5.0775947173860286e+21 
+3.1000000000000000e+01 +3.1585052594987485e-05 -1.9817334759919319e+02 +9.0053960947718063e+10 +5.3313968952407543e+21 
+3.2000000000000000e+01 +3.6949479301855083e-05 -1.9764974375461776e+02 +6.4865762966256088e+10 +5.7741098492332155e+21 
+3.3000000000000000e+01 +4.3512096183142281e-05 -1.9696107141928422e+02 +3.4755337158765648e+10 +6.2395233504726918e+21 
+3.4000000000000000e+01 +5.1025101768340208e-05 -1.9604447479256302e+02 -3.8420673096376648e+09 +6.8690451554649894e+21 
+3.5000000000000000e+01 +5.9357814759050322e-05 -1.9483545930787798e+02 -5.0907205801526794e+10 +7.6171949774610545e+21 
+3.6000000000000000e+01 +6.8425127646014252e-05 -1.9326069677858098e+02 -1.0514258341303381e+11 +8.4212450082161615e+21 
+3.7000000000000000e+01 +7.7478415570410663e-05 -1.9121836099023963e+02 -1.6732488815146384e+11 +9.3303371174771320e+21 
+3.8000000000000000e+01 +8.6228309303660743e-05 -1.8862423735121098e+02 -2.3150363526216400e+11 +1.0185951211835462e+22 
+3.9000000000000000e+01 +9.3033245698934561e-05 -1.8534939508160241e+02 -2.9705600201973596e+11 +1.1050460850583568e+22 
+4.0000000000000000e+01 +9.7943167346942287e-05 -1.8133316372185328e+02 -3.4745021594297992e+11 +1.1518971543134226e+22 
+4.1000000000000000e+01 +9.9181669096539226e-05 -1.7647124312966079e+02 -3.7904489219588885e+11 +1.1708708813333141e+22 
+4.2000000000000000e+01 +9.7276252688968133e-05 -1.7077060656523733e+02 -3.7510443433181116e+11 +1.1303761251582679e+22 
+4.3000000000000000e+01 +9.1431850641719348e-05 -1.6422861665679764e+02 -3.2967156382571881e+11 +1.0253059009390727e+22 
+4.4000000000000000e+01 +8.2135877315106276e-05 -1.5691058478061694e+02 -2.4706747389851480e+11 +8.7692638986864406e+21 
+4.5000000000000000e+01 +6.9787833357681597e-05 -1.4893394255120432e+02 -1.3332478695556905e+11 +6.8123601717664143e+21 
+4.6000000000000000e+01 +5.5432559734787268e-05 -1.4044401552478107e+02 -6.5880470295077486e+09 +4.6500111009222581e+21 
+4.7000000000000000e+01 +3.9932508111431907e-05 -1.3161347033588265e+02 +1.1608790416241335e+11 +2.4578329371195165e+21 
+4.8000000000000000e+01 +2.4481889291067860e-05 -1.2262617281085105e+02 +2.2101359834588519e+11 +4.4297344503950560e+20 
+4.9000000000000000e+01 +1.0237421644813291e-05 -1.1365878844834072e+02 +3.0120592738619830e+11 -1.2547205629638531e+21 
+5.0000000000000000e+01 -2.0420742528157419e-06 -1.0487206600199687e+02 +3.5689209208271826e+11 -2.5848759039189849e+21 
+5.1000000000000000e+01 -1.2145294010748939e-05 -9.6377430736629634e+01 +3.8997099832720734e+11 -3.5289730955865233e+21 
+5.2000000000000000e+01 -1.9948555182202981e-05 -8.8267075241636022e+01 +4.0602968856326953e+11 -4.1567696363971847e+21 
+5.3000000000000000e+01 -2.5533809458941981e-05 -8.0598682054689121e+01 +4.0963496421616882e+11 -4.5297771093933944e+21 
+5.4000000000000000e+01 -2.9081811083437258e-05 -7.3412790504646949e+01 +4.0510188136031079e+11 -4.7252082080630713e+21 
+5.5000000000000000e+01 -3.1150519806524591e-05 -6.6713904751227503e+01 +3.9404482906303424e+11 -4.7684662916914296e+21 
