# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 +5.2256936262880128e-07 -9.5071377865689790e+00 +8.0572263289713364e+09 +1.8949790023273424e+20 
+1.0000000000000001e-01 +5.2224542665402218e-07 -9.5071276916781162e+00 +8.0566714010256176e+09 +1.8948904870240669e+20 
+2.0000000000000001e-01 +5.2134434158196702e-07 -9.5070995935251936e+00 +8.0550736324304142e+09 +1.8946686808637604e+20 
+3.0000000000000004e-01 +5.1997219173768335e-07 -9.5070567718908432e+00 +8.0525335461658201e+09 +1.8943791934428027e+20 
+4.0000000000000002e-01 +5.1823506144402769e-07 -9.5070025065556933e+00 +8.0491516652181273e+09 +1.8940876343553845e+20 
+5.0000000000000000e-01 +5.1623903499768333e-07 -9.5069400772996655e+00 +8.0450285124883375e+09 +1.8938596132174928e+20 
+6.0000000000000009e-01 +5.1409019672442831e-07 -9.5068727639034183e+00 +8.0402646109616127e+09 +1.8937607396238334e+20 
+7.0000000000000007e-01 +5.1189463092837196e-07 -9.5068038461471236e+00 +8.0349604835739250e+09 +1.8938566231812017e+20 
+8.0000000000000004e-01 +5.0975842193468362e-07 -9.5067366038113708e+00 +8.0292166532975388e+09 +1.8942128734880711e+20 
+9.0000000000000002e-01 +5.0778765404942017e-07 -9.5066743166763743e+00 +8.0231336430743160e+09 +1.8948951001493956e+20 
+1.0000000000000000e+00 +5.0608841160176832e-07 -9.5066202645228373e+00 +8.0168119758922186e+09 +1.8959689127596648e+20 
+1.1000000000000001e+00 +5.0474186556262315e-07 -9.5065769610375135e+00 +8.0103516784676809e+09 +1.8974751375243962e+20 
+1.2000000000000002e+00 +5.0372953368299308e-07 -9.5065438555360213e+00 +8.0038507929327354e+09 +1.8993554669710852e+20 
+1.3000000000000000e+00 +5.0300802036691643e-07 -9.5065196312402200e+00 +7.9974068651641092e+09 +1.9015268102346631e+20 
+1.4000000000000001e+00 +5.0253393002707478e-07 -9.5065029713722318e+00 +7.9911174410729790e+09 +1.9039060764413280e+20 
+1.5000000000000000e+00 +5.0226386707444525e-07 -9.5064925591541485e+00 +7.9850800665643082e+09 +1.9064101747190455e+20 
+1.6000000000000001e+00 +5.0215443592560481e-07 -9.5064870778080888e+00 +7.9793922875397320e+09 +1.9089560141968841e+20 
+1.7000000000000002e+00 +5.0216224098617448e-07 -9.5064852105559687e+00 +7.9741516498860474e+09 +1.9114605040070826e+20 
+1.8000000000000000e+00 +5.0224388667139197e-07 -9.5064856406199567e+00 +7.9694556995166254e+09 +1.9138405532754647e+20 
+1.9000000000000001e+00 +5.0235597739917341e-07 -9.5064870512223010e+00 +7.9654019823551884e+09 +1.9160130711252461e+20 
+2.0000000000000000e+00 +5.0245511757221817e-07 -9.5064881255848022e+00 +7.9620880442692556e+09 +1.9178949666938736e+20 
+2.1000000000000001e+00 +5.0250656302148323e-07 -9.5064878157669224e+00 +7.9595833912112284e+09 +1.9194198662721851e+20 
+2.2000000000000002e+00 +5.0251017522169088e-07 -9.5064861491769417e+00 +7.9578453692533007e+09 +1.9205882648204752e+20 
