# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=10][T/m^n] polynom_b[n=12][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 +8.3310721744241548e-05 -7.6495702496038831e+01 +8.6377662448377112e+02 -8.0298641819696436e+06 +4.4684027362521652e+10 -3.5998838345112812e+14 +9.1702053251487155e+17 -8.4652213400636522e+19 
+1.0000000000000001e-01 +8.3311787757862010e-05 -7.6496071928133702e+01 +8.8781604990141022e+02 -8.5698076869131327e+06 +5.0173816601575020e+10 -3.8773721055703700e+14 +9.8505988562758477e+17 -1.4916810799054045e+20 
+2.0000000000000001e-01 +8.3312853937486130e-05 -7.6496441411423334e+01 +9.1185805015534004e+02 -9.1097996844555661e+06 +5.5664040043903442e+10 -4.1548803015222550e+14 +1.0531037650838706e+18 -2.1368803556726368e+20 
+3.0000000000000004e-01 +8.3313919991714449e-05 -7.6496810856554433e+01 +9.3589815311280597e+02 -9.6497562847075369e+06 +6.1153948982739014e+10 -4.4323741578283306e+14 +1.1211444045100013e+18 -2.7820508943094697e+20 
+4.0000000000000002e-01 +8.3314986074891359e-05 -7.6497180310533835e+01 +9.5993869148966189e+02 -1.0189720898870764e+07 +6.6643928159142532e+10 -4.7098711759549700e+14 +1.1891857500920440e+18 -3.4272276309262225e+20 
+5.0000000000000000e-01 +8.3316052193125987e-05 -7.6497549774751789e+01 +9.8397973106895336e+02 -1.0729694810701746e+07 +7.2133989830803833e+10 -4.9873719577272506e+14 +1.2572279473811438e+18 -4.0724119364281565e+20 
+6.0000000000000009e-01 +8.3317118147725424e-05 -7.6497919188566485e+01 +1.0080182352103868e+03 -1.1269620936050177e+07 +7.7623623212181900e+10 -5.2648530663590225e+14 +1.3252656712091965e+18 -4.7175563472961110e+20 
+7.0000000000000007e-01 +8.3318184268698611e-05 -7.6498288654632091e+01 +1.0320594002599498e+03 -1.1809597642664656e+07 +8.3113712787592026e+10 -5.5423552308803862e+14 +1.3933082011330340e+18 -5.3627437509793389e+20 
+8.0000000000000004e-01 +8.3319250245832661e-05 -7.6498658075896913e+01 +1.0560982933960752e+03 -1.2349531272967460e+07 +8.8603414530873550e+10 -5.8198395174153712e+14 +1.4613466542725033e+18 -6.0078947137726054e+20 
+9.0000000000000002e-01 +8.3320316403153957e-05 -7.6499027550503556e+01 +1.0801397993938394e+03 -1.2889513211823676e+07 +9.4093542980051575e+10 -6.0973431814673350e+14 +1.5293894732779018e+18 -6.6530843184375320e+20 
+1.0000000000000000e+00 +8.3321382394568007e-05 -7.6499396977230361e+01 +1.1041790045583239e+03 -1.3429453231316468e+07 +9.9583305405436493e+10 -6.3748303768741362e+14 +1.5974286097791040e+18 -7.2982415337546790e+20 
+1.1000000000000001e+00 +8.3320317496066257e-05 -7.6498875955286763e+01 +1.0733495689227586e+03 -1.2749369668845357e+07 +9.2605833670511429e+10 -6.0151532453899038e+14 +1.5070920959266017e+18 -6.4198825850768838e+20 
+1.2000000000000002e+00 +8.3319252593534610e-05 -7.6498354931186356e+01 +1.0425199889377934e+03 -1.2069282854716180e+07 +8.5628328979059097e+10 -5.6554744571760150e+14 +1.4167551784230948e+18 -5.5415198349151358e+20 
+1.3000000000000000e+00 +8.3318187668960156e-05 -7.6497833900400579e+01 +1.0116900842906144e+03 -1.1389190141431414e+07 +7.8650773182217453e+10 -5.2957933920314388e+14 +1.3264177570177912e+18 -4.6631526975929260e+20 
+1.4000000000000001e+00 +8.3317122750967189e-05 -7.6497312873099872e+01 +9.8086040075778567e+02 -1.0709102187767304e+07 +7.1673263905085938e+10 -4.9361145982701944e+14 +1.2360808760483589e+18 -3.7847905512336582e+20 
+1.5000000000000000e+00 +8.3316057884310355e-05 -7.6496791859455229e+01 +9.5003132774397204e+02 -1.0029024679914601e+07 +6.4695840984213516e+10 -4.5764395086647262e+14 +1.1457447892895776e+18 -2.9064351358717959e+20 
+1.6000000000000001e+00 +8.3314993126306367e-05 -7.6496270879771572e+01 +9.1920398739144628e+02 -9.3489802238199618e+06 +5.7718717276339569e+10 -4.2167782783589625e+14 +1.0554118761321416e+18 -2.0281081911150356e+20 
