# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=10][T/m^n] polynom_b[n=12][T/m^n] polynom_b[n=14][T/m^n] 
+1.7000000000000002e+00 +8.3313928089884736e-05 -7.6495749814947956e+01 +8.8837237728869036e+02 -8.6688553993700184e+06 +5.0740873619181648e+10 -3.8570839809250306e+14 +9.6507144302382451e+17 -1.1497141684444347e+20 
+1.8000000000000000e+00 +8.3312863328363095e-05 -7.6495228834250923e+01 +8.5754498490194180e+02 -7.9888099194692280e+06 +4.3763740311869186e+10 -3.4974222910804319e+14 +8.7473842151725594e+17 -2.7138622666851721e+19 
+1.9000000000000001e+00 +8.3311798421624282e-05 -7.6494707809086265e+01 +8.2671536364559859e+02 -7.3087225258018859e+06 +3.6786231904494888e+10 -3.1377433885994738e+14 +7.8440148876578342e+17 +6.0697657864758125e+19 
+2.0000000000000000e+00 +8.3310733546786844e-05 -7.6494186794032842e+01 +7.9588626103534341e+02 -6.6286450528479414e+06 +2.9808813461829784e+10 -2.7780686583166494e+14 +6.9406551230705306e+17 +1.4853307982542986e+20 
+2.1000000000000001e+00 +8.3309510756636039e-05 -7.6493240980434493e+01 +7.3665580550848676e+02 -5.3407283492176598e+06 +1.6747547507352245e+10 -2.1044165911668109e+14 +5.2274111796208186e+17 +3.1899247639633252e+20 
+2.2000000000000002e+00 +8.3308288017390898e-05 -7.6492295181955285e+01 +6.7742609555660442e+02 -4.0528255275152023e+06 +3.6864049655084667e+09 -1.4307701605157000e+14 +3.5141799990189453e+17 +4.8945073842141705e+20 
+2.3000000000000003e+00 +8.3307065416412352e-05 -7.6491349425367204e+01 +6.1819846829233597e+02 -2.7649616167607075e+06 -9.3743911779595394e+09 -7.5713955689744828e+13 +1.8009846533557379e+17 +6.5990581588110580e+20 
+2.4000000000000004e+00 +8.3305842606145084e-05 -7.6490403605444612e+01 +5.5896769294154922e+02 -1.4770388833632688e+06 -2.2435711096528461e+10 -8.3485016016842949e+12 +8.7735097138347780e+15 +8.3036571194373636e+20 
+2.5000000000000000e+00 +8.3304619782278546e-05 -7.6489457781333385e+01 +4.9973670339400360e+02 -1.8911203913241261e+05 -3.5497068468145348e+10 +5.9017126978505008e+13 -1.6255184751316947e+17 +1.0008259698798507e+21 
+2.6000000000000001e+00 +8.3303397121634281e-05 -7.6488512007230341e+01 +4.4050822354374685e+02 +1.0987675607855495e+06 -4.8558002699531281e+10 +1.2638081270756816e+14 -3.3387278805325843e+17 +1.1712822896376163e+21 
+2.7000000000000002e+00 +8.3302174360767059e-05 -7.6487566201650253e+01 +3.8127814111356793e+02 +2.3866776110127540e+06 -6.1619211426162315e+10 +1.9374576474344538e+14 -5.0519661759052800e+17 +1.3417411925736408e+21 
+2.8000000000000003e+00 +8.3300951609423414e-05 -7.6486620400176932e+01 +3.2204830190161550e+02 +3.6745826078232210e+06 -7.4680371825887848e+10 +2.6111048429917316e+14 -6.7651989994630080e+17 +1.5121995943491498e+21 
+2.9000000000000004e+00 +8.3299728901999796e-05 -7.6485674611371763e+01 +2.6281907018046201e+02 +4.9624765626100311e+06 -8.7741436031268875e+10 +3.2847477196128050e+14 -8.4784221841773747e+17 +1.6826571498148290e+21 
+3.0000000000000000e+00 +8.3298506213417837e-05 -7.6484728827687505e+01 +2.0359007894169210e+02 +6.2503661728278771e+06 -1.0080246237399289e+11 +3.9583888906608050e+14 -1.0191641545027602e+18 +1.8531143678451749e+21 
+3.1000000000000001e+00 +8.3298338241667301e-05 -7.6485475091504284e+01 +2.5281456071071042e+02 +5.1457947245404935e+06 -8.9289870534659058e+10 +3.3510140585803700e+14 -8.6200796756236749e+17 +1.6948910204204181e+21 
+3.2000000000000002e+00 +8.3298170242957807e-05 -7.6486221346548874e+01 +3.0203858557037580e+02 +4.0412320917687141e+06 -7.7777359026209610e+10 +2.7436429619460500e+14 -7.0485263802459840e+17 +1.5366684432890703e+21 
+3.3000000000000003e+00 +8.3298002104090462e-05 -7.6486967559414794e+01 +3.5126052154755155e+02 +2.9367083920953851e+06 -6.6265193558389709e+10 +2.1362876581315541e+14 -5.4770088125709760e+17 +1.3784490391785209e+21 
+3.4000000000000004e+00 +8.3297834176219052e-05 -7.6487713835108423e+01 +4.0048554689708675e+02 +1.8321274108029383e+06 -5.4752520993519028e+10 +1.5289092842196128e+14 -3.9054391881159814e+17 +1.2202250216902372e+21 
+3.5000000000000000e+00 +8.3297666160103410e-05 -7.6488460085541632e+01 +4.4970936225309867e+02 +7.2756845070410206e+05 -4.3240040680920616e+10 +9.2153956282570641e+13 -2.3338889204773011e+17 +1.0620027076625211e+21 
+3.6000000000000001e+00 +8.3297498254431582e-05 -7.6489206368192669e+01 +4.9893474064433786e+02 -3.7701921104963863e+05 -3.1727308148217293e+10 +3.1415843349437930e+13 -7.6231303268128928e+16 +9.0377813198927102e+20 
+3.7000000000000002e+00 +8.3297330150707661e-05 -7.6489952591247274e+01 +5.4815717155998516e+02 -1.4815520301208189e+06 -2.0215062224477821e+10 -2.9320052374465020e+13 +8.0921277051249456e+16 +7.4555799838909071e+20 
+3.8000000000000003e+00 +8.3297162157794705e-05 -7.6490698848751734e+01 +5.9738134265096494e+02 -2.5861177154953848e+06 -8.7025214106518135e+09 -9.0057303438701719e+13 +2.3807694018759562e+17 +5.8733511513996185e+20 
+3.9000000000000004e+00 +8.3296994127808092e-05 -7.6491445093556720e+01 +6.4660483079305880e+02 -3.6906699271773859e+06 +2.8098945692238607e+09 -1.5079396648037247e+14 +3.9523123963008109e+17 +4.2911346741722304e+20 
+4.0000000000000000e+00 +8.3296826228390538e-05 -7.6492191379218994e+01 +6.9583039668528727e+02 -4.7952616090473132e+06 +1.4322666412720823e+10 -2.1153227173126559e+14 +5.5238928710091622e+17 +2.7088846709961592e+20 
+4.1000000000000005e+00 +8.3296994213461799e-05 -7.6491922579286580e+01 +6.7964224290543552e+02 -4.4434543680921225e+06 +1.0738980354146269e+10 -1.9297898611966475e+14 +5.0514422415624454e+17 +3.1780293037419115e+20 
+4.2000000000000002e+00 +8.3297162126131922e-05 -7.6491653758602055e+01 +6.6345309732613543e+02 -4.0916291380914156e+06 +7.1551378047194710e+09 -1.7442499859117278e+14 +4.5789759580122067e+17 +3.6471876741397126e+20 
+4.2999999999999998e+00 +8.3297330071597454e-05 -7.6491384946694026e+01 +6.4726434776268502e+02 -3.7398107473920048e+06 +3.5713522945045495e+09 -1.5587125770955053e+14 +4.1065150020274042e+17 +4.1163414988443609e+20 
+4.4000000000000004e+00 +8.3297498265933110e-05 -7.6491116211718506e+01 +6.3107947881463895e+02 -3.3880656571770869e+06 -1.1775078239534929e+07 -1.3732054439981127e+14 +3.6341229751989235e+17 +4.5854337873776260e+20 
+4.5000000000000000e+00 +8.3297666094721981e-05 -7.6490847363978801e+01 +6.1488893074485657e+02 -3.0362134259621161e+06 -3.5958634956550941e+09 -1.1876541354208169e+14 +3.1616304378944301e+17 +5.0546157584178079e+20 
+4.6000000000000005e+00 +8.3297834145103588e-05 -7.6490578585421900e+01 +5.9870189660422102e+02 -2.6844279010411301e+06 -7.1793507268290119e+09 -1.0021305638081336e+14 +2.6892011979138474e+17 +5.5237411127364164e+20 
+4.7000000000000002e+00 +8.3298001988208495e-05 -7.6490309743445721e+01 +5.8251167989009673e+02 -2.3325824370444738e+06 -1.0763375160111021e+10 -8.1658230840279328e+13 +2.2167158034108570e+17 +5.9929165722726498e+20 
+4.8000000000000007e+00 +8.3298170062377118e-05 -7.6490040969802109e+01 +5.6632481335127216e+02 -1.9807990102746068e+06 -1.4346850670428902e+10 -6.3105902345724680e+13 +1.7442867598221997e+17 +6.4620420818477122e+20 
+4.9000000000000004e+00 +8.3298338085201817e-05 -7.6489772182324302e+01 +5.5013731150818796e+02 -1.6290043842553264e+06 -1.7930421525282799e+10 -4.4553153408755289e+13 +1.2718484679332627e+17 +6.9311756153838056e+20 
+5.0000000000000000e+00 +8.3298505994130291e-05 -7.6489503359728161e+01 +5.3394804425681355e+02 -1.2771765138254678e+06 -2.1514290098388493e+10 -2.5999037847659566e+13 +7.9937911768385344e+16 +7.4003368343808849e+20 
+5.1000000000000005e+00 +8.3296856144417307e-05 -7.6489101407698328e+01 +5.1040925359153880e+02 -7.5715083617573325e+05 -2.6895420145222603e+10 +2.2704786146924302e+12 +6.8181320762282980e+15 +8.1400145804563972e+20 
+5.2000000000000002e+00 +8.3295206338820102e-05 -7.6488699469598799e+01 +4.8687117693008560e+02 -2.3713880766807590e+05 -3.2276426507154259e+10 +3.0539421941558141e+13 -6.6300335049352872e+16 +8.8796805517843379e+20 
+5.3000000000000007e+00 +8.3293556504952137e-05 -7.6488297521660598e+01 +4.6333256726762914e+02 +2.8288377688297327e+05 -3.7657530883754578e+10 +5.8808827549228367e+13 -1.3941987507470507e+17 +9.6193562481414347e+20 
+5.4000000000000004e+00 +8.3291906725628255e-05 -7.6487895591818614e+01 +4.3979490947988148e+02 +8.0288787678618147e+05 -4.3038466009679436e+10 +8.7077443159518531e+13 -2.1253759626231629e+17 +1.0359015562605396e+21 
+5.5000000000000000e+00 +8.3290256842970866e-05 -7.6487493628414526e+01 +4.1625550637714844e+02 +1.3229256404977418e+06 -4.8419708052589493e+10 +1.1534748726905758e+14 -2.8565859988938048e+17 +1.1098704400239291e+21 
+5.6000000000000005e+00 +8.3288606967615620e-05 -7.6487091669364887e+01 +3.9271639486651935e+02 +1.8429569054646189e+06 -5.3800884958225525e+10 +1.4361720713026022e+14 -3.5877882006801370e+17 +1.1838385911346915e+21 
+5.7000000000000002e+00 +8.3286957189422425e-05 -7.6486689739545696e+01 +3.6917872874396539e+02 +2.3629612768158647e+06 -5.9181823217651520e+10 +1.7188583944011666e+14 -4.3189658312317440e+17 +1.2578045625724657e+21 
+5.8000000000000007e+00 +8.3285307270285428e-05 -7.6486287765810317e+01 +3.4563883425851520e+02 +2.8830079298865627e+06 -6.4563142456625557e+10 +2.0015622934120378e+14 -5.0501835708506470e+17 +1.3317741217213197e+21 
+5.9000000000000004e+00 +8.3283657534191112e-05 -7.6485885848612753e+01 +3.2210179540251795e+02 +3.4030005554980380e+06 -6.9943975853398682e+10 +2.2842438118765416e+14 -5.7813502950778406e+17 +1.4057391217331719e+21 
+6.0000000000000000e+00 +8.3282007615956917e-05 -7.6485483876200320e+01 +2.9856200323586370e+02 +3.9230447922940874e+06 -7.5325270126708908e+10 +2.5669464451078731e+14 -6.5125649391092288e+17 +1.4797083889294091e+21 
+6.1000000000000005e+00 +8.3284394554021261e-05 -7.6486389550813357e+01 +3.5135928352304740e+02 +2.7902723072259543e+06 -6.3866230973824432e+10 +1.9763989041128431e+14 -5.0125952864283846e+17 +1.3308416509556037e+21 
+6.2000000000000002e+00 +8.3286781316213633e-05 -7.6487295173850370e+01 +4.0415405512807729e+02 +1.6575459637177568e+06 -5.2407597771247910e+10 +1.3858697407960092e+14 -3.5126669363907354e+17 +1.1819785611722275e+21 
+6.3000000000000007e+00 +8.3289168399389006e-05 -7.6488200893339624e+01 +4.5695359940154447e+02 +5.2473072074640158e+05 -4.0948174829829613e+10 +7.9530455142320828e+13 -2.0126571195033306e+17 +1.0331082389763447e+21 
+6.4000000000000004e+00 +8.3291555230898258e-05 -7.6489106536475035e+01 +5.0974934255113965e+02 -6.0801342308507382e+05 -2.9489385427171421e+10 +2.0476832972331059e+13 -5.1271292737097736e+16 +8.8424375129194457e+20 
+6.5000000000000000e+00 +8.3293941981555018e-05 -7.6490012155855197e+01 +5.6254392390938278e+02 -1.7407360729343095e+06 -1.8030786165240391e+10 -3.8575924176149484e+13 +9.8721173925030272e+16 +7.3538099488302000e+20 
+6.6000000000000005e+00 +8.3296328950160239e-05 -7.6490917840439806e+01 +6.1534172485716488e+02 -2.8735186250389721e+06 -6.5716551028430090e+09 -9.7631106380216000e+13 +2.4871912328695517e+17 +5.8651337163700542e+20 
+6.7000000000000002e+00 +8.3298715906511144e-05 -7.6491823521257373e+01 +6.6813933705046418e+02 -4.0062976339398343e+06 +4.8874443264839544e+09 -1.5668614380459275e+14 +3.9871674451941894e+17 +4.3764604014754621e+20 
+6.8000000000000007e+00 +8.3301102735937251e-05 -7.6492729164570363e+01 +7.2093511272112403e+02 -5.1390426787581816e+06 +1.6346243598007721e+10 -2.1573981731364838e+14 +5.4871129079742720e+17 +2.8878143198668505e+20 
+6.9000000000000004e+00 +8.3303489630215968e-05 -7.6493634827720555e+01 +7.7373188441779268e+02 -6.2718064920442626e+06 +2.7805211158929245e+10 -2.7479426440668628e+14 +6.9870759757802726e+17 +1.3991525247209832e+20 
+7.0000000000000000e+00 +8.3305876315188440e-05 -7.6494540425223121e+01 +8.2652531342248676e+02 -7.4045067528298004e+06 +3.9263605376042038e+10 -3.3384606437251512e+14 +8.4869786030148288e+17 -8.9455187491565804e+18 
+7.1000000000000005e+00 +8.3305487218785190e-05 -7.6494623419049773e+01 +8.3245576607420560e+02 -7.5237313257201696e+06 +4.0323032623702911e+10 -3.3835101149163150e+14 +8.5743951677061133e+17 -1.4931303907124853e+19 
+7.2000000000000002e+00 +8.3305098230660832e-05 -7.6494706446037654e+01 +8.3838788267315510e+02 -7.6429872164196698e+06 +4.1382740315959335e+10 -3.4285724604660375e+14 +8.6618409948676736e+17 -2.0919697884084269e+19 
+7.3000000000000007e+00 +8.3304709003729439e-05 -7.6494789399261364e+01 +8.4431627883214026e+02 -7.7621728295475524e+06 +4.2441816970863678e+10 -3.4736057749961900e+14 +8.7492207225712384e+17 -2.6902190535257039e+19 
+7.4000000000000004e+00 +8.3304319755920012e-05 -7.6494872347520158e+01 +8.5024447665710693e+02 -7.8813554205941511e+06 +4.3500871468284035e+10 -3.5186382507005650e+14 +8.8365988719631398e+17 -3.2884566602495029e+19 
+7.5000000000000000e+00 +8.3303930635591469e-05 -7.6494955333004143e+01 +8.5617447797182160e+02 -8.0005710617802283e+06 +4.4560215797032532e+10 -3.5636838101882875e+14 +8.9240063540656346e+17 -3.8869528043252597e+19 
+7.6000000000000005e+00 +8.3303541424652153e-05 -7.6495038292426472e+01 +8.6210323109805950e+02 -8.1197640381868193e+06 +4.5619362859007561e+10 -3.6087205203426644e+14 +9.0113941021770125e+17 -4.4852758063480078e+19 
+7.7000000000000002e+00 +8.3303152382867987e-05 -7.6495121302366684e+01 +8.6803447260380767e+02 -8.2390032067340557e+06 +4.6678919195462395e+10 -3.6537758624718994e+14 +9.0988239147136832e+17 -5.0839717521882350e+19 
+7.8000000000000007e+00 +8.3302763085284546e-05 -7.6495204235547021e+01 +8.7396191532077273e+02 -8.3581715614555208e+06 +4.7737845813980202e+10 -3.6988024469015500e+14 +9.1861886262738714e+17 -5.6820891544401199e+19 
+7.9000000000000004e+00 +8.3302373977720641e-05 -7.6495287224448120e+01 +8.7989207643031102e+02 -8.4773900989343952e+06 +4.8797215558570839e+10 -3.7438491608907150e+14 +9.2735987193237030e+17 -6.2806085341773152e+19 
+8.0000000000000000e+00 +8.3301984777093741e-05 -7.6495370186970362e+01 +8.8582097876787793e+02 -8.5965857562687080e+06 +4.9856385558315857e+10 -3.7888868799281962e+14 +9.3609886717564813e+17 -6.8789504904385413e+19 
+8.0999999999999996e+00 +8.3300319565274435e-05 -7.6494477648215209e+01 +8.3160103620341488e+02 -7.3920420634488380e+06 +3.7317341085911240e+10 -3.1282178407163281e+14 +7.6575381870470246e+17 +1.0169740314825361e+20 
+8.2000000000000011e+00 +8.3298654210329845e-05 -7.6493585066967498e+01 +7.7737900698102362e+02 -6.1874597053723317e+06 +2.4777954418547466e+10 -2.4675332350303325e+14 +5.9540525769364147e+17 +2.7218742428614060e+20 
+8.3000000000000007e+00 +8.3296988883484603e-05 -7.6492692492240749e+01 +7.2315723607635221e+02 -4.9828812923332229e+06 +1.2238596979145716e+10 -1.8068497554040938e+14 +4.2505691378338298e+17 +4.4267727992406114e+20 
+8.4000000000000004e+00 +8.3295323633399601e-05 -7.6491799941076223e+01 +6.6893664822137669e+02 -3.7783251516220397e+06 -3.0056099342713994e+08 -1.1461754331570319e+14 +2.5471065131879062e+17 +6.1316527989720574e+20 
+8.5000000000000000e+00 +8.3293658350776310e-05 -7.6490907380828219e+01 +6.1471563369157457e+02 -2.5737613650396289e+06 -1.2839784892024240e+10 -4.8549817374033453e+13 +8.4363737244581936e+16 +7.8365384930943186e+20 
+8.5999999999999996e+00 +8.3291992962127682e-05 -7.6490014788258833e+01 +5.6049300282829336e+02 -1.3691672289399148e+06 -2.5379280097622253e+10 +1.7519152453872838e+13 -8.5986001289150448e+16 +9.5414493482383258e+20 
+8.7000000000000011e+00 +8.3290327688284883e-05 -7.6489122229945565e+01 +5.0627206122054059e+02 -1.6460450192064734e+05 -3.7918496542412163e+10 +8.3586851231053953e+13 -2.5633286610449648e+17 +1.1246334691993142e+21 
+8.8000000000000007e+00 +8.3288662380735134e-05 -7.6488229662742228e+01 +4.5205072114184878e+02 +1.0399650881060642e+06 -5.0457770183755806e+10 +1.4965479742591166e+14 -4.2668026584605114e+17 +1.2951224605662016e+21 
+8.9000000000000004e+00 +8.3286997079059822e-05 -7.6487337095575072e+01 +3.9782932202437337e+02 +2.2445366300060619e+06 -6.2997067078316978e+10 +2.1572287135696403e+14 -5.9702799460193370e+17 +1.4656117737449448e+21 
+9.0000000000000000e+00 +8.3285331836175684e-05 -7.6486444548004798e+01 +3.4360895911406340e+02 +3.4490879504737267e+06 -7.5536178003617081e+10 +2.8179007389077031e+14 -7.6737371030965914e+17 +1.6360992684362763e+21 
+9.0999999999999996e+00 +8.3286139339728993e-05 -7.6486658583624560e+01 +3.5590389292521400e+02 +3.1603533322273125e+06 -7.2224490978140350e+10 +2.6252676833320797e+14 -7.1291996904053453e+17 +1.5768924736581015e+21 
+9.2000000000000011e+00 +8.3286946874756149e-05 -7.6486872631787492e+01 +3.6819955646494458e+02 +2.8716035989072146e+06 -6.8912659173027374e+10 +2.4326276408635103e+14 -6.5846457732521472e+17 +1.5176841617810483e+21 
+9.3000000000000007e+00 +8.3287754377756284e-05 -7.6487086668371774e+01 +3.8049457702398587e+02 +2.5828668279618905e+06 -6.5600949354150002e+10 +2.2399934127451409e+14 -6.0401054654195328e+17 +1.4584770921037921e+21 
+9.4000000000000004e+00 +8.3288561953661074e-05 -7.6487300726949357e+01 +3.9279068478978701e+02 +2.2941098611501413e+06 -6.2289060712109894e+10 +2.0473510542655844e+14 -5.4955468306429677e+17 +1.3992684002234977e+21 
+9.5000000000000000e+00 +8.3289369589527638e-05 -7.6487514803469594e+01 +4.0508768432419942e+02 +2.0053361661239529e+06 -5.8977022338048096e+10 +1.8547018154781166e+14 -4.9509725323004051e+17 +1.3400583092741750e+21 
+9.6000000000000014e+00 +8.3290177153452725e-05 -7.6487728859177523e+01 +4.1738367913246947e+02 +1.7165808699378092e+06 -5.5665145413046387e+10 +1.6620598741674209e+14 -4.4064146194220838e+17 +1.2808496648745265e+21 
+9.7000000000000011e+00 +8.3290984667173330e-05 -7.6487942898415199e+01 +4.2967881449216287e+02 +1.4278421554244636e+06 -5.2353419494680428e+10 +1.4694249492022009e+14 -3.8618727980489158e+17 +1.2216424650007579e+21 
+9.8000000000000007e+00 +8.3291792256551744e-05 -7.6488156962140735e+01 +4.4197521553996728e+02 +1.1390791911310756e+06 -4.9041473903917786e+10 +1.2767798597312231e+14 -3.3173077428528922e+17 +1.1624331851512619e+21 
+9.9000000000000004e+00 +8.3292599595315809e-05 -7.6488370949007233e+01 +4.5426776383186842e+02 +8.5038863507945708e+05 -4.5730175763823555e+10 +1.0841644527452892e+14 -2.7728100727477814e+17 +1.1032299064696934e+21 
+1.0000000000000000e+01 +8.3293407327567268e-05 -7.6488585054958989e+01 +4.6656623174750706e+02 +5.6158745875111269e+05 -4.2417892536673256e+10 +8.9150402255451812e+13 -2.2282104330717670e+17 +1.0440175636494052e+21 
+1.0100000000000001e+01 +8.3295640595068996e-05 -7.6489342844762149e+01 +5.0685028310225505e+02 -2.3136780289611680e+05 -3.4977386982954147e+10 +5.3282350982450055e+13 -1.3708563615647496e+17 +9.6354830521967064e+20 
+1.0200000000000001e+01 +8.3297874229020283e-05 -7.6490100746793601e+01 +5.4713996258511236e+02 -1.0244289536218841e+06 -2.7535933401866718e+10 +1.7409947957032605e+13 -5.1340337903828264e+16 +8.8307022838021082e+20 
+1.0300000000000001e+01 +8.3300107568013557e-05 -7.6490858559702161e+01 +5.8742521481555366e+02 -1.8174073896293677e+06 -2.0095216405366142e+10 -1.8459088195687941e+13 +3.4397333913841996e+16 +8.0259893177645898e+20 
+1.0400000000000000e+01 +8.3302341206901434e-05 -7.6491616464575245e+01 +6.2771507965489275e+02 -2.6104725899734437e+06 -1.2653722850737051e+10 -5.4331687837860438e+13 +1.2014310271274893e+17 +7.2212041830175329e+20 
+1.0500000000000000e+01 +8.3304574614902861e-05 -7.6492374298170702e+01 +6.6800135334760171e+02 -3.4034700205944926e+06 -5.2128373417605534e+09 -9.0201491866706641e+13 +2.0588250938387021e+17 +6.4164758271059231e+20 
+1.0600000000000001e+01 +8.3306808181160739e-05 -7.6493132178789665e+01 +7.0828993613195826e+02 -4.1965102295996817e+06 +2.2284266859647074e+09 -1.2607301747283325e+14 +2.9162580018622502e+17 +5.6117130510952432e+20 
+1.0700000000000001e+01 +8.3309041725558906e-05 -7.6493890054674992e+01 +7.4857834551342125e+02 -4.9895480216353862e+06 +9.6696746732215824e+09 -1.6194448918805553e+14 +3.7736900396800666e+17 +4.8069507952256221e+20 
+1.0800000000000001e+01 +8.3311275122704487e-05 -7.6494647884348595e+01 +7.8886440172721677e+02 -5.7825410758444788e+06 +1.7110519072647442e+10 -1.9781409761035922e+14 +4.6310795350638752e+17 +4.0022266060532344e+20 
+1.0900000000000000e+01 +8.3313508684229308e-05 -7.6495405764832185e+01 +8.2915302095079176e+02 -6.5755825426592147e+06 +2.4551798148065380e+10 -2.3368570561554438e+14 +5.4885145547884128e+17 +3.1974617756073139e+20 
+1.1000000000000000e+01 +8.3315742158255883e-05 -7.6496163618767142e+01 +8.6944031547660325e+02 -7.3685991633348037e+06 +3.1992855234888714e+10 -2.6955629611368084e+14 +6.3459264727241638e+17 +2.3927175243401016e+20 
+1.1100000000000001e+01 +8.3315658948617877e-05 -7.6496343842226310e+01 +8.8689875422105820e+02 -7.8286485062079495e+06 +3.7211052430355377e+10 -2.9821547869631688e+14 +7.0954304022786483e+17 +1.6450631580429350e+20 
+1.1200000000000001e+01 +8.3315575792632850e-05 -7.6496524083058759e+01 +9.0435808874121005e+02 -8.2887149708440555e+06 +4.2429404414496925e+10 -3.2687537629914306e+14 +7.8449506525858368e+17 +8.9739419820642894e+19 
+1.1300000000000001e+01 +8.3315492516366853e-05 -7.6496704286559208e+01 +9.2181553351554237e+02 -8.7487456324854661e+06 +4.7647434123031982e+10 -3.5553378822759138e+14 +8.5944370182105626e+17 +1.4975553423198327e+19 
+1.1400000000000000e+01 +8.3315409185432117e-05 -7.6496884473406553e+01 +9.3927215322027200e+02 -9.2087609757575598e+06 +5.2865328407771729e+10 -3.8419158561022706e+14 +9.3439095581251059e+17 -5.9787091485167411e+19 
+1.1500000000000000e+01 +8.3315325978626143e-05 -7.6497064697788716e+01 +9.5673063361874586e+02 -9.6688109842893127e+06 +5.8083530500435898e+10 -4.1285078614862462e+14 +1.0093413803190397e+18 -1.3455254889301410e+20 
